Museum Name,Museum Type,City,State,Income,Revenue,Museum Name2,Rating,Review Count
ALASKA STATE MUSEUM,GENERAL MUSEUM,JUNEAU,AK,"$182,675.00 ","$129,192.00 ",ALASKA STATE MUSEUM,4.5,257
HAMMER MUSEUM,HISTORY MUSEUM,HAINES,AK,$0.00 ,$0.00 ,HAMMER MUSEUM,4,105
KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,HISTORIC PRESERVATION,SKAGWAY,AK,0,0,KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,4.5,618
PRATT MUSEUM,ART MUSEUM,HOMER,AK,"$65,544.00 ","$65,544.00 ",PRATT MUSEUM,4.5,271
WRANGELL MUSEUM,GENERAL MUSEUM,WRANGELL,AK,0,0,WRANGELL MUSEUM,4.5,84
BIRMINGHAM CIVIL RIGHTS INSTITUTE,HISTORIC PRESERVATION,BIRMINGHAM,AL,"$2,736,160.00 ","$2,736,160.00 ",BIRMINGHAM CIVIL RIGHTS INSTITUTE,4.5,701
BIRMINGHAM MUSEUM OF ART,ART MUSEUM,BIRMINGHAM,AL,"$25,404.00 ","$25,404.00 ",BIRMINGHAM MUSEUM OF ART,4.5,342
HISTORY MUSEUM OF MOBILE,HISTORY MUSEUM,MOBILE,AL,"$20,453.00 ","$20,453.00 ",HISTORY MUSEUM OF MOBILE,4.5,181
MOBILE MUSEUM OF ART,ART MUSEUM,MOBILE,AL,"$3,749,971.00 ","$3,668,329.00 ",MOBILE MUSEUM OF ART,4.5,82
ROSA PARKS LIBRARY AND MUSEUM,GENERAL MUSEUM,MONTGOMERY,AL,0,0,ROSA PARKS LIBRARY AND MUSEUM,4.5,392
SOUTHERN MUSEUM OF FLIGHT,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,BIRMINGHAM,AL,"$254,016.00 ","$233,359.00 ",SOUTHERN MUSEUM OF FLIGHT,4.5,121
VULCAN PARK AND MUSEUM,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",BIRMINGHAM,AL,"$1,418,325.00 ","$1,349,832.00 ",VULCAN PARK AND MUSEUM,4.5,768
CRYSTAL BRIDGES MUSEUM OF AMERICAN ART,ART MUSEUM,BENTONVILLE,AR,"$482,391,631.00 ",0,CRYSTAL BRIDGES MUSEUM OF AMERICAN ART,5,"2,848"
ESSE PURSE MUSEUM,ART MUSEUM,LITTLE ROCK,AR,0,0,ESSE PURSE MUSEUM,4.5,100
GANGSTER MUSEUM OF AMERICA,GENERAL MUSEUM,HOT SPRINGS,AR,0,0,GANGSTER MUSEUM OF AMERICA,3.5,363
HISTORIC ARKANSAS MUSEUM,HISTORIC PRESERVATION,LITTLE ROCK,AR,"$576,019.00 ","$214,306.00 ",HISTORIC ARKANSAS MUSEUM,4.5,129
MUSEUM OF MILITARY HISTORY,GENERAL MUSEUM,RUSSELLVILLE,AR,$0.00 ,$0.00 ,MUSEUM OF MILITARY HISTORY,4.5,148
MUSEUM OF NATIVE AMERICAN HISTORY,HISTORY MUSEUM,BENTONVILLE,AR,"$898,462.00 ",0,MUSEUM OF NATIVE AMERICAN HISTORY,5,718
ARIZONA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,MESA,AZ,"$130,535.00 ","$128,165.00 ",ARIZONA MUSEUM OF NATURAL HISTORY,4.5,226
ARIZONA SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,PHOENIX,AZ,"$9,570,267.00 ","$9,054,937.00 ",ARIZONA SCIENCE CENTER,4.5,607
ARIZONA STATE MUSEUM,GENERAL MUSEUM,TUCSON,AZ,0,0,ARIZONA STATE MUSEUM,4.5,102
ARIZONA-SONORA DESERT MUSEUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",TUCSON,AZ,"$13,227,687.00 ","$8,412,523.00 ",ARIZONA-SONORA DESERT MUSEUM,5,"5,590"
BISBEE MINING & HISTORICAL MUSEUM,HISTORIC PRESERVATION,BISBEE,AZ,"$222,862.00 ","$195,433.00 ",BISBEE MINING & HISTORICAL MUSEUM,4.5,281
CHILDREN'S MUSEUM TUCSON,CHILDREN'S MUSEUM,TUCSON,AZ,0,0,CHILDREN'S MUSEUM TUCSON,4.5,169
HEARD MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$13,971,506.00 ","$7,495,330.00 ",HEARD MUSEUM,4.5,"1,698"
INTERNATIONAL WILDLIFE MUSEUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",TUCSON,AZ,0,0,INTERNATIONAL WILDLIFE MUSEUM,4.5,198
MARTIN AUTO MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$248,956.00 ","$248,956.00 ",MARTIN AUTO MUSEUM,4.5,58
MUSEUM OF CONTEMPORARY ART,ART MUSEUM,TUCSON,AZ,"$556,608.00 ","$506,133.00 ",MUSEUM OF CONTEMPORARY ART,4,567
MUSEUM OF GEOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,TEMPE,AZ,0,0,MUSEUM OF GEOLOGY,4.5,210
MUSEUM OF NORTHERN ARIZONA,HISTORY MUSEUM,FLAGSTAFF,AZ,"$5,372,021.00 ","$3,464,222.00 ",MUSEUM OF NORTHERN ARIZONA,4.5,365
MUSICAL INSTRUMENT MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$17,120,450.00 ",0,MUSICAL INSTRUMENT MUSEUM,5,"3,553"
PENSKE RACING MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,0,0,PENSKE RACING MUSEUM,4.5,184
PHOENIX ART MUSEUM,ART MUSEUM,PHOENIX,AZ,"$9,540,336.00 ","$8,402,608.00 ",PHOENIX ART MUSEUM,4.5,644
PHOENIX POLICE MUSEUM,HISTORY MUSEUM,PHOENIX,AZ,"$162,269.00 ","$135,353.00 ",PHOENIX POLICE MUSEUM,4.5,56
SEDONA HERITAGE MUSEUM,GENERAL MUSEUM,SEDONA,AZ,0,0,SEDONA HERITAGE MUSEUM,4.5,105
SHARLOT HALL MUSEUM,GENERAL MUSEUM,PRESCOTT,AZ,0,0,SHARLOT HALL MUSEUM,4.5,411
SMOKI MUSEUM,GENERAL MUSEUM,PRESCOTT,AZ,"$446,305.00 ","$357,692.00 ",SMOKI MUSEUM,4.5,75
AUTOMOBILE DRIVING MUSEUM,GENERAL MUSEUM,EL SEGUNDO,CA,"$672,576.00 ","$631,296.00 ",AUTOMOBILE DRIVING MUSEUM,4.5,80
BLACKHAWK MUSEUM,GENERAL MUSEUM,DANVILLE,CA,"$1,597,847.00 ",0,BLACKHAWK MUSEUM,4.5,211
CABLE CAR MUSEUM,GENERAL MUSEUM,SAN FRANCISCO,CA,"$487,055.00 ","$301,199.00 ",CABLE CAR MUSEUM,4.5,"2,546"
CALIFORNIA ACADEMY OF SCIENCES,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,SAN FRANCISCO,CA,"$91,703,732.00 ","$91,703,732.00 ",CALIFORNIA ACADEMY OF SCIENCES,4.5,"4,032"
CALIFORNIA STATE RAILROAD MUSEUM,GENERAL MUSEUM,SACRAMENTO,CA,"$4,478,387.00 ","$2,687,022.00 ",CALIFORNIA STATE RAILROAD MUSEUM,5,"1,810"
CHILDREN'S DISCOVERY MUSEUM,CHILDREN'S MUSEUM,CARLSBAD,CA,0,0,CHILDREN'S DISCOVERY MUSEUM,4.5,104
COMPUTER HISTORY MUSEUM,GENERAL MUSEUM,MOUNTAIN VIEW,CA,"$5,730,317.00 ","$5,172,249.00 ",COMPUTER HISTORY MUSEUM,4.5,510
HOLLYWOOD WAX MUSEUM,GENERAL MUSEUM,LOS ANGELES,CA,0,0,HOLLYWOOD WAX MUSEUM,4,"1,619"
JAPANESE AMERICAN NATIONAL MUSEUM,GENERAL MUSEUM,LOS ANGELES,CA,"$6,811,921.00 ","$5,715,561.00 ",JAPANESE AMERICAN NATIONAL MUSEUM,4.5,201
LOS ANGELES COUNTY MUSEUM OF ART,ART MUSEUM,LOS ANGELES,CA,0,0,LOS ANGELES COUNTY MUSEUM OF ART,4.5,"1,855"
LOS ANGELES MUSEUM OF THE HOLOCAUST,GENERAL MUSEUM,LOS ANGELES,CA,"$1,941,278.00 ","$1,762,723.00 ",LOS ANGELES MUSEUM OF THE HOLOCAUST,4.5,105
LYON AIR MUSEUM,GENERAL MUSEUM,SANTA ANA,CA,0,0,LYON AIR MUSEUM,4.5,91
MADAME TUSSAUDS HOLLYWOOD,GENERAL MUSEUM,LOS ANGELES,CA,0,0,MADAME TUSSAUDS HOLLYWOOD,4,"2,203"
MARIPOSA MUSEUM AND HISTORY CENTER,GENERAL MUSEUM,MARIPOSA,CA,"$323,874.00 ","$100,770.00 ",MARIPOSA MUSEUM AND HISTORY CENTER,4.5,119
MARITIME MUSEUM OF SAN DIEGO,GENERAL MUSEUM,SAN DIEGO,CA,"$5,258,191.00 ","$5,081,714.00 ",MARITIME MUSEUM OF SAN DIEGO,4.5,"1,134"
MINGEI INTERNATIONAL MUSEUM,GENERAL MUSEUM,SAN DIEGO,CA,"$3,908,074.00 ","$3,460,205.00 ",MINGEI INTERNATIONAL MUSEUM,4.5,80
MUSEUM OF DEATH,GENERAL MUSEUM,LOS ANGELES,CA,0,0,MUSEUM OF DEATH,4,170
MUSEUM OF JURASSIC TECHNOLOGY,NATURAL HISTORY MUSEUM,CULVER CITY,CA,"$560,414.00 ","$471,920.00 ",MUSEUM OF JURASSIC TECHNOLOGY,4,144
MUSEUM OF MAKING MUSIC,HISTORY MUSEUM,CARLSBAD,CA,"$555,123.00 ","$524,193.00 ",MUSEUM OF MAKING MUSIC,4.5,224
MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,BERKELEY,CA,0,0,MUSEUM OF NATURAL HISTORY,4.5,156
PALM SPRINGS AIR MUSEUM,HISTORY MUSEUM,PALM SPRINGS,CA,"$2,981,994.00 ","$2,632,089.00 ",PALM SPRINGS AIR MUSEUM,4.5,"1,152"
PALM SPRINGS ART MUSEUM,GENERAL MUSEUM,PALM SPRINGS,CA,"$24,967,082.00 ","$18,252,734.00 ",PALM SPRINGS ART MUSEUM,4.5,"1,009"
RONALD REAGAN PRESIDENTIAL LIBRARY AND MUSEUM,GENERAL MUSEUM,SIMI VALLEY,CA,0,0,RONALD REAGAN PRESIDENTIAL LIBRARY AND MUSEUM,5,"1,964"
ROSICRUCIAN EGYPTIAN MUSEUM,GENERAL MUSEUM,SAN JOSE,CA,"$2,776,261.00 ","$2,525,960.00 ",ROSICRUCIAN EGYPTIAN MUSEUM,4.5,516
SACRAMENTO HISTORY MUSEUM,HISTORY MUSEUM,SACRAMENTO,CA,"$105,814.00 ",0,SACRAMENTO HISTORY MUSEUM,4,81
SAN DIEGO AUTOMOTIVE MUSEUM,GENERAL MUSEUM,SAN DIEGO,CA,"$627,657.00 ","$554,876.00 ",SAN DIEGO AUTOMOTIVE MUSEUM,4,161
SAN DIEGO MUSEUM OF ART,ART MUSEUM,SAN DIEGO,CA,"$13,992,297.00 ","$7,668,513.00 ",SAN DIEGO MUSEUM OF ART,4,179
SAN DIEGO MUSEUM OF MAN,GENERAL MUSEUM,SAN DIEGO,CA,"$2,914,680.00 ","$2,755,114.00 ",SAN DIEGO MUSEUM OF MAN,3.5,240
SAN DIEGO NATURAL HISTORY MUSEUM,NATURAL HISTORY MUSEUM,SAN DIEGO,CA,0,0,SAN DIEGO NATURAL HISTORY MUSEUM,4,302
SAN FRANCISCO RAILWAY MUSEUM,GENERAL MUSEUM,SAN FRANCISCO,CA,$0.00 ,$0.00 ,SAN FRANCISCO RAILWAY MUSEUM,4,75
SANTA BARBARA MARITIME MUSEUM,HISTORY MUSEUM,SANTA BARBARA,CA,"$1,365,102.00 ","$1,304,452.00 ",SANTA BARBARA MARITIME MUSEUM,4.5,157
SANTA BARBARA MUSEUM OF ART,ART MUSEUM,SANTA BARBARA,CA,"$21,749,975.00 ","$10,616,215.00 ",SANTA BARBARA MUSEUM OF ART,4.5,302
SANTA BARBARA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,SANTA BARBARA,CA,"$24,908,054.00 ","$5,253,243.00 ",SANTA BARBARA MUSEUM OF NATURAL HISTORY,4.5,213
SANTA CRUZ SURFING MUSEUM,GENERAL MUSEUM,SANTA CRUZ,CA,0,0,SANTA CRUZ SURFING MUSEUM,4.5,159
SHARPSTEEN MUSEUM,GENERAL MUSEUM,CALISTOGA,CA,"$90,014.00 ","$62,737.00 ",SHARPSTEEN MUSEUM,4.5,79
USS MIDWAY MUSEUM,GENERAL MUSEUM,SAN DIEGO,CA,"$30,399,090.00 ","$21,957,912.00 ",USS MIDWAY MUSEUM,4.5,"15,105"
VETERANS MEMORIAL MUSEUM,HISTORY MUSEUM,FRESNO,CA,"$59,729.00 ","$59,729.00 ",VETERANS MEMORIAL MUSEUM,4.5,321
WALT DISNEY FAMILY MUSEUM,GENERAL MUSEUM,SAN FRANCISC,CA,$0.00 ,$0.00 ,WALT DISNEY FAMILY MUSEUM,4.5,"1,894"
CHILDREN'S MUSEUM OF DENVER,CHILDREN'S MUSEUM,DENVER,CO,"$12,808,165.00 ","$12,400,759.00 ",CHILDREN'S MUSEUM OF DENVER,4,349
CLYFFORD STILL MUSEUM,ART MUSEUM,DENVER,CO,"$1,994,884.00 ","$1,943,516.00 ",CLYFFORD STILL MUSEUM,4.5,271
COLORADO RAILROAD MUSEUM,HISTORY MUSEUM,GOLDEN,CO,"$2,224,215.00 ","$2,051,167.00 ",COLORADO RAILROAD MUSEUM,4,399
COLORADO SPRINGS PIONEERS MUSEUM,HISTORY MUSEUM,COLORADO SPGS,CO,0,0,COLORADO SPRINGS PIONEERS MUSEUM,4.5,232
DENVER ART MUSEUM,ART MUSEUM,DENVER,CO,"$40,083,926.00 ","$5,907,991.00 ",DENVER ART MUSEUM,4.5,"2,084"
DENVER MUSEUM OF NATURE & SCIENCE,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,DENVER,CO,0,0,DENVER MUSEUM OF NATURE & SCIENCE,4.5,"2,564"
ESTES PARK MUSEUM,GENERAL MUSEUM,ESTES PARK,CO,"$77,361.00 ","$58,323.00 ",ESTES PARK MUSEUM,4.5,105
FORT COLLINS MUSEUM OF DISCOVERY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,FORT COLLINS,CO,"$1,467,107.00 ","$1,426,781.00 ",FORT COLLINS MUSEUM OF DISCOVERY,4.5,152
KIRKLAND MUSEUM OF FINE & DECORATIVE ART,ART MUSEUM,DENVER,CO,"$1,157,181.00 ",0,KIRKLAND MUSEUM OF FINE & DECORATIVE ART,4.5,268
NATIONAL MUSEUM OF WORLD WAR II AVIATION,GENERAL MUSEUM,COLORADO SPGS,CO,"$472,639.00 ","$472,639.00 ",NATIONAL MUSEUM OF WORLD WAR II AVIATION,5,441
PETERSON AIR & SPACE MUSEUM,GENERAL MUSEUM,PETERSON AFB,CO,$0.00 ,$0.00 ,PETERSON AIR & SPACE MUSEUM,4.5,92
SAN JUAN COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,SILVERTON,CO,"$723,940.00 ","$661,845.00 ",SAN JUAN COUNTY HISTORICAL SOCIETY,5,75
TELLURIDE HISTORICAL MUSEUM,HISTORY MUSEUM,TELLURIDE,CO,"$363,305.00 ","$335,081.00 ",TELLURIDE HISTORICAL MUSEUM,4.5,114
TREAD OF PIONEERS MUSEUM,HISTORY MUSEUM,STEAMBOAT SPRINGS,CO,"$378,914.00 ","$311,851.00 ",TREAD OF PIONEERS MUSEUM,4.5,88
WINGS OVER THE ROCKIES AIR & SPACE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,DENVER,CO,"$3,335,958.00 ","$2,816,738.00 ",WINGS OVER THE ROCKIES AIR & SPACE MUSEUM,4.5,418
BRUCE MUSEUM,GENERAL MUSEUM,GREENWICH,CT,"$7,278,065.00 ","$5,467,122.00 ",BRUCE MUSEUM,4.5,119
DANBURY RAILWAY MUSEUM,HISTORY MUSEUM,DANBURY,CT,"$188,890.00 ","$154,682.00 ",DANBURY RAILWAY MUSEUM,4.5,111
NEW BRITAIN MUSEUM OF AMERICAN ART,ART MUSEUM,NEW BRITAIN,CT,"$12,229,699.00 ","$8,910,080.00 ",NEW BRITAIN MUSEUM OF AMERICAN ART,5,245
NEW ENGLAND AIR MUSEUM,GENERAL MUSEUM,WINDSOR LOCKS,CT,0,0,NEW ENGLAND AIR MUSEUM,4.5,190
WADSWORTH ATHENEUM MUSEUM OF ART,ART MUSEUM,HARTFORD,CT,"$66,761,998.00 ","$19,020,471.00 ",WADSWORTH ATHENEUM MUSEUM OF ART,4.5,337
YALE PEABODY MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,NEW HAVEN,CT,"$7,943,643,646.00 ","$3,688,471,185.00 ",YALE PEABODY MUSEUM OF NATURAL HISTORY,4.5,371
YALE UNIVERSITY ART GALLERY,ART MUSEUM,NEW HAVEN,CT,"$7,943,643,646.00 ","$3,688,471,185.00 ",YALE UNIVERSITY ART GALLERY,5,585
INTERNATIONAL SPY MUSEUM,GENERAL MUSEUM,WASHINGTON,DC,0,0,INTERNATIONAL SPY MUSEUM,4,"3,553"
NATIONAL BUILDING MUSEUM,GENERAL MUSEUM,WASHINGTON,DC,"$7,867,658.00 ","$7,026,975.00 ",NATIONAL BUILDING MUSEUM,4,460
NATIONAL GEOGRAPHIC MUSEUM,GENERAL MUSEUM,WASHINGTON,DC,"$685,911,957.00 ","$529,780,148.00 ",NATIONAL GEOGRAPHIC MUSEUM,4,531
NATIONAL MALL,HISTORIC PRESERVATION,WASHINGTON,DC,"$9,736,290.00 ","$8,861,386.00 ",NATIONAL MALL,4.5,"4,431"
NATIONAL MUSEUM OF AFRICAN ART,GENERAL MUSEUM,WASHINGTON,DC,0,0,NATIONAL MUSEUM OF AFRICAN ART,4,153
NATIONAL MUSEUM OF THE AMERICAN INDIAN,GENERAL MUSEUM,WASHINGTON,DC,0,0,NATIONAL MUSEUM OF THE AMERICAN INDIAN,4,"1,543"
NATIONAL MUSEUM OF WOMEN IN THE ARTS,ART MUSEUM,WASHINGTON,DC,"$9,848,036.00 ","$6,472,816.00 ",NATIONAL MUSEUM OF WOMEN IN THE ARTS,4.5,213
NATIONAL PORTRAIT GALLERY,ART MUSEUM,WASHINGTON,DC,"$622,610.00 ","$622,610.00 ",NATIONAL PORTRAIT GALLERY,4.5,"2,125"
NEWSEUM,GENERAL MUSEUM,WASHINGTON,DC,"$62,624,477.00 ","$62,589,252.00 ",NEWSEUM,4.5,"6,309"
UNITED STATES HOLOCAUST MEMORIAL MUSEUM,HISTORY MUSEUM,WASHINGTON,DC,"$187,415,604.00 ","$124,145,507.00 ",UNITED STATES HOLOCAUST MEMORIAL MUSEUM,4.5,"7,031"
ZWAANENDAEL MUSEUM,GENERAL MUSEUM,LEWES,DE,0,0,ZWAANENDAEL MUSEUM,4,103
AH-TAH-THI-KI MUSEUM,GENERAL MUSEUM,CLEWISTON,FL,0,0,AH-TAH-THI-KI MUSEUM,4.5,99
AIR FORCE ARMAMENT MUSEUM,GENERAL MUSEUM,EGLIN AFB,FL,"$281,752.00 ","$113,626.00 ",AIR FORCE ARMAMENT MUSEUM,4.5,832
AMELIA ISLAND MUSEUM OF HISTORY,HISTORY MUSEUM,FERNANDINA,FL,"$401,717.00 ","$368,635.00 ",AMELIA ISLAND MUSEUM OF HISTORY,4.5,344
APALACHICOLA MARITIME MUSEUM,GENERAL MUSEUM,EASTPOINT,FL,"$1,278,355.00 ","$1,278,355.00 ",APALACHICOLA MARITIME MUSEUM,4,143
APPLETON MUSEUM OF ART,ART MUSEUM,OCALA,FL,"$23,773.00 ","$3,331.00 ",APPLETON MUSEUM OF ART,4.5,218
BOCA RATON MUSEUM OF ART,ART MUSEUM,BOCA RATON,FL,"$4,852,937.00 ","$3,990,733.00 ",BOCA RATON MUSEUM OF ART,4,238
CHARLES HOSMER MORSE MUSEUM OF AMERICAN ART,ART MUSEUM,WINTER PARK,FL,"$4,227,953.00 ",0,CHARLES HOSMER MORSE MUSEUM OF AMERICAN ART,5,987
COLLIER COUNTY MUSEUM,GENERAL MUSEUM,NAPLES,FL,"$34,250.00 ","$13,711.00 ",COLLIER COUNTY MUSEUM,4.5,97
CORNELL FINE ARTS MUSEUM,ART MUSEUM,WINTER PARK,FL,"$206,173,379.00 ","$146,187,601.00 ",CORNELL FINE ARTS MUSEUM,4.5,69
DESTIN HISTORY & FISHING MUSEUM,HISTORY MUSEUM,DESTIN,FL,"$97,394.00 ","$82,031.00 ",DESTIN HISTORY & FISHING MUSEUM,4.5,96
FLORIDA HOLOCAUST MUSEUM,HISTORY MUSEUM,ST PETERSBURG,FL,"$1,460,943.00 ","$1,331,764.00 ",FLORIDA HOLOCAUST MUSEUM,4.5,348
FLORIDA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,GAINESVILLE,FL,0,0,FLORIDA MUSEUM OF NATURAL HISTORY,4.5,582
GLAZER CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,TAMPA,FL,0,0,GLAZER CHILDREN'S MUSEUM,4,290
GOLISANO CHILDREN'S MUSEUM OF NAPLES,CHILDREN'S MUSEUM,NAPLES,FL,"$2,228,073.00 ","$2,007,512.00 ",GOLISANO CHILDREN'S MUSEUM OF NAPLES,4.5,239
HENRY B. PLANT MUSEUM,GENERAL MUSEUM,TAMPA,FL,0,0,HENRY B. PLANT MUSEUM,4.5,481
HENRY MORRISON FLAGLER MUSEUM,HISTORY MUSEUM,PALM BEACH,FL,"$6,877,259.00 ","$4,144,898.00 ",HENRY MORRISON FLAGLER MUSEUM,4.5,905
HISTORIC PENSACOLA VILLAGE,HISTORIC PRESERVATION,PENSACOLA,FL,0,0,HISTORIC PENSACOLA VILLAGE,4.5,252
LOWE ART MUSEUM,ART MUSEUM,CORAL GABLES,FL,"$4,000,192,005.00 ","$3,000,690,615.00 ",LOWE ART MUSEUM,4,64
